Feature-Set;NSHAP-Value
hypertension,cerebrovascular.disease,copd;0.0000
hypertension,cerebrovascular.disease,dementia;-0.0001
hypertension,cerebrovascular.disease,cancer;-0.0000
hypertension,hepatitis,endstage.renal.disease;0.0003
hypertension,hepatitis,chronic.kidney.disease;0.0000
hypertension,hepatitis,asthma;0.0000
hypertension,hepatitis,copd;0.0000
hypertension,hepatitis,dementia;0.0000
hypertension,hepatitis,cancer;-0.0000
hypertension,endstage.renal.disease,chronic.kidney.disease;0.0002
hypertension,endstage.renal.disease,asthma;0.0000
hypertension,endstage.renal.disease,copd;0.0000
hypertension,endstage.renal.disease,dementia;0.0000
hypertension,endstage.renal.disease,cancer;-0.0002
hypertension,chronic.kidney.disease,asthma;0.0001
hypertension,chronic.kidney.disease,copd;0.0005
hypertension,chronic.kidney.disease,dementia;0.0002
hypertension,chronic.kidney.disease,cancer;0.0003
hypertension,asthma,copd;-0.0000
hypertension,asthma,dementia;-0.0001
hypertension,asthma,cancer;-0.0001
hypertension,copd,dementia;-0.0001
hypertension,copd,cancer;0.0003
hypertension,dementia,cancer;0.0000
hyperlipidemia,diabetes,coronary.artery.disease;0.0094
hyperlipidemia,diabetes,chf;0.0036
hyperlipidemia,diabetes,cerebrovascular.disease;0.0010
hyperlipidemia,diabetes,hepatitis;0.0002
hyperlipidemia,diabetes,endstage.renal.disease;0.0019
hyperlipidemia,diabetes,chronic.kidney.disease;0.0025
hyperlipidemia,diabetes,asthma;0.0016
hyperlipidemia,diabetes,copd;0.0016
hyperlipidemia,diabetes,dementia;0.0012
hyperlipidemia,diabetes,cancer;0.0014
hyperlipidemia,coronary.artery.disease,chf;0.0057
hyperlipidemia,coronary.artery.disease,cerebrovascular.disease;0.0026
hyperlipidemia,coronary.artery.disease,hepatitis;0.0002
hyperlipidemia,coronary.artery.disease,endstage.renal.disease;0.0006
hyperlipidemia,coronary.artery.disease,chronic.kidney.disease;0.0021
hyperlipidemia,coronary.artery.disease,asthma;-0.0002
hyperlipidemia,coronary.artery.disease,copd;0.0010
hyperlipidemia,coronary.artery.disease,dementia;0.0025
hyperlipidemia,coronary.artery.disease,cancer;0.0018
hyperlipidemia,chf,cerebrovascular.disease;0.0009
hyperlipidemia,chf,hepatitis;0.0001
hyperlipidemia,chf,endstage.renal.disease;0.0004
hyperlipidemia,chf,chronic.kidney.disease;0.0010
hyperlipidemia,chf,asthma;-0.0006
hyperlipidemia,chf,copd;0.0014
hyperlipidemia,chf,dementia;0.0004
hyperlipidemia,chf,cancer;0.0001
hyperlipidemia,cerebrovascular.disease,hepatitis;-0.0000
hyperlipidemia,cerebrovascular.disease,endstage.renal.disease;0.0001
hyperlipidemia,cerebrovascular.disease,chronic.kidney.disease;0.0001
hyperlipidemia,cerebrovascular.disease,asthma;0.0002
hyperlipidemia,cerebrovascular.disease,copd;0.0003
hyperlipidemia,cerebrovascular.disease,dementia;0.0002
hyperlipidemia,cerebrovascular.disease,cancer;-0.0000
hyperlipidemia,hepatitis,endstage.renal.disease;-0.0000
hyperlipidemia,hepatitis,chronic.kidney.disease;0.0000
hyperlipidemia,hepatitis,asthma;-0.0000
hyperlipidemia,hepatitis,copd;0.0000
hyperlipidemia,hepatitis,dementia;0.0001
hyperlipidemia,hepatitis,cancer;0.0002
hyperlipidemia,endstage.renal.disease,chronic.kidney.disease;0.0005
hyperlipidemia,endstage.renal.disease,asthma;0.0001
hyperlipidemia,endstage.renal.disease,copd;0.0002
hyperlipidemia,endstage.renal.disease,dementia;0.0002
hyperlipidemia,endstage.renal.disease,cancer;0.0000
hyperlipidemia,chronic.kidney.disease,asthma;0.0003
hyperlipidemia,chronic.kidney.disease,copd;0.0004
hyperlipidemia,chronic.kidney.disease,dementia;0.0004
hyperlipidemia,chronic.kidney.disease,cancer;0.0002
hyperlipidemia,asthma,copd;-0.0006
hyperlipidemia,asthma,dementia;0.0002
hyperlipidemia,asthma,cancer;0.0000
hyperlipidemia,copd,dementia;0.0002
hyperlipidemia,copd,cancer;0.0007
hyperlipidemia,dementia,cancer;0.0003
diabetes,coronary.artery.disease,chf;0.0077
diabetes,coronary.artery.disease,cerebrovascular.disease;0.0020
diabetes,coronary.artery.disease,hepatitis;-0.0001
diabetes,coronary.artery.disease,endstage.renal.disease;0.0012
diabetes,coronary.artery.disease,chronic.kidney.disease;0.0007
diabetes,coronary.artery.disease,asthma;0.0013
diabetes,coronary.artery.disease,copd;0.0021
diabetes,coronary.artery.disease,dementia;0.0016
diabetes,coronary.artery.disease,cancer;0.0023
diabetes,chf,cerebrovascular.disease;0.0011
diabetes,chf,hepatitis;0.0001
diabetes,chf,endstage.renal.disease;0.0008
diabetes,chf,chronic.kidney.disease;0.0009
diabetes,chf,asthma;0.0006
diabetes,chf,copd;0.0008
diabetes,chf,dementia;0.0000
diabetes,chf,cancer;0.0002
diabetes,cerebrovascular.disease,hepatitis;0.0000
